ID,Cuerpo de Bomberos,URL,Logo Path,RUT,Numero de Socio,Fecha de Fundacion,Direccion,Telefono,Superintendente,Comandante,Numero de Companias,status
108,Pichidegua,https://app.bomberos.cl/info_crpo_web/?id=108,logos/108_Pichidegua.png,70.691.700-4,142,22-12-1967,Covadonga 17,72-2591333,Luis Alejandro Granifo Quinteros,Fredy Segundo Gonzalez Arriaza,3,desde_app_bomberos
109,Pichilemu,https://app.bomberos.cl/info_crpo_web/?id=109,logos/109_Pichilemu.png,70.008.100-1,221,04-12-1945,San Antonio 124,(72) 2841001,Ivan Felipe Bozo Cáceres,Hector Eduardo Morales Moraga,4,desde_app_bomberos
110,Pumanque,https://app.bomberos.cl/info_crpo_web/?id=110,logos/110_Pumanque.jpg,71.604.700-8,248,13-01-1975,Rosario 710,(72) 824704 - 09-76251653,Nicolas Osvaldo Gonzalez Barraza,Marcial Ruben Argomedo Donoso,2,desde_app_bomberos
111,Placilla,https://app.bomberos.cl/info_crpo_web/?id=111,logos/111_Placilla.png,70.648.800-6,204,20-11-1963,Miraflores 697,(72) 2858606,Arnoldo Yonathan Salvatierra Correa,Cristian Enrique Lopez Mella,1,desde_app_bomberos
113,Rancagua,https://app.bomberos.cl/info_crpo_web/?id=113,logos/113_Rancagua.jpg,81.478.800-8,16,12-02-1882,"Brasil 860, centro rancagua",(72) 2222984 - 2222233,Raúl Octavio Montecinos Reveco,Marcos Martin Fernández Paredes,8,desde_app_bomberos
114,Rengo,https://app.bomberos.cl/info_crpo_web/?id=114,logos/114_Rengo.png,70.000.900-9,29,08-12-1893,Alonso de Ercilla 645,(72) 511992 - 511349,Raul Morales Matus,Manuel Aladin Maldonado Muñoz,4,desde_app_bomberos
115,Requínoa,https://app.bomberos.cl/info_crpo_web/?id=115,logos/115_Requínoa.jpg,70.603.100-6,171,17-10-1957,Guillermo Shell Norte 142,(72) 551080,Joaquin Alfonso Caceres Carvajal,Cesar Emilio Rebolledo Gana,3,desde_app_bomberos
116,Parral,https://app.bomberos.cl/info_crpo_web/?id=116,logos/116_Parral.jpg,70.014.440-2,63,15-08-1914,dieciocho 685,732462600,Stefano Alberto Sigala Luna,Mauricio Alejandro Araya Garrido,6,desde_app_bomberos
117,Pelluhue,https://app.bomberos.cl/info_crpo_web/?id=117,logos/117_Pelluhue.jpg,65.819.700-2,267,11-11-1985,"Miguel Grau 160, CURANIPE",979685032,Paola Loreto Acosta Allendes,Ramón Antonio Muñoz Garrido,3,desde_app_bomberos
118,Retiro,https://app.bomberos.cl/info_crpo_web/?id=118,logos/118_Retiro.png,70.014.420-8,201,23-04-1963,Errázuriz 275,73 2 421026,Nicolas Matias Perez Briones,Pablo Ignacio Fuentes Sanhueza,4,desde_app_bomberos
119,Rauco,https://app.bomberos.cl/info_crpo_web/?id=119,logos/119_Rauco.png,75.813.000-2,279,06-10-1994,Sta. María S/n,(75) 441082,Víctor Hugo Torres Quitral,Ivan Eduardo Andres Morales Aguilera,2,desde_app_bomberos
120,Romeral,https://app.bomberos.cl/info_crpo_web/?id=120,logos/120_Romeral.pjpeg,70.605.100-7,222,27-12-1967,Oscar Bonilla 60,(75) 431030,Pedro Wilson Ponce Orellana,Juan Pablo Ponce Cavalla,3,desde_app_bomberos
121,Sagrada Familia,https://app.bomberos.cl/info_crpo_web/?id=121,logos/121_Sagrada Familia.jpg,74.904.500-0,281,25-05-1995,esperanza s/n,(75) 451089,Luis Armando Daza Retamal,Rodrigo Cisterna Perez,4,desde_app_bomberos
122,San Clemente,https://app.bomberos.cl/info_crpo_web/?id=122,logos/122_San Clemente.pjpeg,70.009.700-5,163,20-10-1955,"Huamachuco 1125, San clemente",(71)2 621272,Sergio Patricio Quezada Mercado,Christian Elias Bravo Mujica,7,desde_app_bomberos
123,San Javier De Loncomilla,https://app.bomberos.cl/info_crpo_web/?id=123,logos/123_San Javier De Loncomilla.png,65.082.829-1,45,30-07-1905,Loncomilla 2465,(73) 2 -  634308 - 634309,Claudia Andrea Bravo Salazar,Mario Oltra Gouet,7,desde_app_bomberos
124,Talca,https://app.bomberos.cl/info_crpo_web/?id=124,logos/124_Talca.png,82.104.800-1,8,01-10-1870,2 Sur 1160,(56-71) 2214402 - 2232222 - 2231599,Victor Manuel San Martin Ortega,Francisco Esteban Iturra Andrades,9,desde_app_bomberos
125,San Rafael,https://app.bomberos.cl/info_crpo_web/?id=125,logos/125_San Rafael.jpg,65.053.740-8,283,10-07-1997,Calle Ignacio Bascuñan 450,(71) 2651844 - +56975484779,David Meyer Palma,Jose Cristian Rojas Apablaza,2,desde_app_bomberos
126,Teno,https://app.bomberos.cl/info_crpo_web/?id=126,logos/126_Teno.pjpeg,70.006.400-k,103,08-01-1940,Comalle 108,(75) 2 411035,Nancy María Gómez Ramírez,Manuel Rodrigo Céspedes Mezas,5,desde_app_bomberos
127,Villa Alegre,https://app.bomberos.cl/info_crpo_web/?id=127,logos/127_Villa Alegre.jpg,81.670.800-1,202,20-06-1963,Abate Molina 939,732 381591,José Miguel Gutiérrez Solar,Sabrina Milisen Sobarzo Mejías,3,desde_app_bomberos
128,Yerbas Buenas,https://app.bomberos.cl/info_crpo_web/?id=128,logos/128_Yerbas Buenas.jpg,70.834.400-1,255,12-10-1978,Centenario 66,(73)2390046,Eduardo Alberto Muñoz Muñoz,Felipe Andres Elgueta Rogel,3,desde_app_bomberos
129,Antuco,https://app.bomberos.cl/info_crpo_web/?id=129,logos/129_Antuco.png,72.430.500-8,262,04-09-1982,Sargento Aldea 15,(43) 621034,Diego Francisco Peña Gutiérrez,Pablo Felipe Saldias Arias,2,desde_app_bomberos
130,Arauco,https://app.bomberos.cl/info_crpo_web/?id=130,logos/130_Arauco.jpg,70.007.300-9,146,30-09-1951,Caupolicán 310,(41) 2551914,Edgardo Joaquin Cruz Figueroa,Jerman Muñoz Pacheco,6,desde_app_bomberos
131,Bulnes,https://app.bomberos.cl/info_crpo_web/?id=131,logos/131_Bulnes.jpg,70.009.000-0,106,12-09-1940,Manuel Bulnes 225,(42) 2631380 - (42)-2630152,Francisco Javier Octavio Zapata Quilodran,Mauricio Manuel Inostroza Salas,3,desde_app_bomberos
132,Cabrero,https://app.bomberos.cl/info_crpo_web/?id=132,logos/132_Cabrero.jpg,70.941.800-9,198,19-08-1962,Zañartu 169,(43) 411016,Valentina Yolanda Muñoz Arroyo,Cristian Danilo Olate Coronado,5,desde_app_bomberos
133,Cañete,https://app.bomberos.cl/info_crpo_web/?id=133,logos/133_Cañete.png,82.182.800-7,122,14-09-1945,Condell 350,(41) 2613118 - (41) 2612787,Bernardo Gonzalo Cuevas Carrera,Juan Ortíz Velasquez,7,desde_app_bomberos
134,Cobquecura,https://app.bomberos.cl/info_crpo_web/?id=134,logos/134_Cobquecura.jpg,75.946.760-4,286,23-06-1999,Independencia 43,(42) 1971857,Marcelo Alejandro Cerda Cofre,Claudio Antonio Bustos Alarcon,3,desde_app_bomberos
135,El Monte,https://app.bomberos.cl/info_crpo_web/?id=135,logos/135_El Monte.jpg,70.036.700-2,141,06-04-1951,Los Libertadores 450,(2) 28182622,Juan Hernández Ojeda,Jorge Alberto Saba Labbé,2,desde_app_bomberos
136,Isla De Maipo,https://app.bomberos.cl/info_crpo_web/?id=136,logos/136_Isla De Maipo.jpg,70.035.600-0,197,05-08-1962,Santelices 154,(02) 8192801 - 8192889,Israel Fernando Tapia Poblete,Nicolas Ventura García-Huidobro,4,desde_app_bomberos
138,La Granja,https://app.bomberos.cl/info_crpo_web/?id=138,logos/138_La Granja.jpeg,81.852.300-9,140,10-07-1950,Argentina 2095,22 860 6010,Luis Hugo Fuenzalida Diaz,Jorge Fernandez Rubio,5,desde_app_bomberos
139,Maipú,https://app.bomberos.cl/info_crpo_web/?id=139,logos/139_Maipú.png,70.003.400-3,156,21-05-1954,5 De Abril 258,225316046,Fernando Antonio Molina García,Claudio Andres Salinas Gonzalez,9,desde_app_bomberos
140,María Pinto,https://app.bomberos.cl/info_crpo_web/?id=140,logos/140_María Pinto.jpg,70.908.200-0,190,07-01-1962,Santa Emilia. S/n,+56 9 50981268,David Osvaldo Moyano Ruiz,Juan Pablo Rojas Vera,2,desde_app_bomberos
141,Melipilla,https://app.bomberos.cl/info_crpo_web/?id=141,logos/141_Melipilla.jpg,81.598.600-8,56,17-07-1910,Serrano 591,228317349 - 224195550,Juan Ramón Vera Martinez,Luis Mondaca Rojas,7,desde_app_bomberos
142,Ñuñoa,https://app.bomberos.cl/info_crpo_web/?id=142,logos/142_Ñuñoa.jpg,70.003.700-2,86,27-05-1933,José Pedro Alessandri 845,(02) 2371993,Gabriel Moya Venegas,Juan Quevedo Brugere,11,desde_app_bomberos
143,Paine,https://app.bomberos.cl/info_crpo_web/?id=143,logos/143_Paine.pjpeg,71.501.100-K,270,16-05-1987,"Luis Bahamondes 0108, Villa Las Lomas de Paine",442164327,Patricio Dagoberto Carrasco Moreno,Diego Jose Alvarez Araya,5,desde_app_bomberos
144,Peñaflor,https://app.bomberos.cl/info_crpo_web/?id=144,logos/144_Peñaflor.jpg,70.014.700-2,123,06-11-1945,21 De Mayo 4234,(2) 28128057 (2)28120182 - (2)28125944,Hernán Humberto Gijón Peñaloza,Claudio Antonio Navarro Basoalto,6,desde_app_bomberos
145,Puente Alto,https://app.bomberos.cl/info_crpo_web/?id=145,logos/145_Puente Alto.jpeg,81.769.700-3,95,29-09-1936,Balmaceda 482,22 8729139 - 22 8729123,Juan Ramon Gomez Bueno,Sergio Jovino Pinilla Rosales,9,desde_app_bomberos
146,Quilicura,https://app.bomberos.cl/info_crpo_web/?id=146,logos/146_Quilicura.jpg,82.070.000-7,155,29-01-1954,José Pedro Escobar 040,(2) 6035561- 6032647 - 6034391,Juan Osorio Morales,Carlos Alcides Cid Jarpa,4,desde_app_bomberos
147,Quinta Normal,https://app.bomberos.cl/info_crpo_web/?id=147,logos/147_Quinta Normal.png,83.015.200-8,112,18-12-1942,"Martinez de Rosas 4700, .",2 7735858 - 2 7733370,Andrés Sepúlveda Vergara,Jadhi Jhonns Henriquez Nuñez,11,desde_app_bomberos
148,San Bernardo,https://app.bomberos.cl/info_crpo_web/?id=148,logos/148_San Bernardo.jpg,82.310.800-1,40,20-12-1903,Covadonga 459,(2) 8592594 - 8792660,Gerardo Allende March,Juan Borquez Correa,9,desde_app_bomberos
149,San José De Maipo,https://app.bomberos.cl/info_crpo_web/?id=149,logos/149_San José De Maipo.jpg,70.576.700-9,162,12-10-1955,Camino El Volcán 20426,(2) 8611530,Juan Alejandro Flores Cuevas,José Ricardo Martínez Rojas,5,desde_app_bomberos
150,Futrono,https://app.bomberos.cl/info_crpo_web/?id=150,logos/150_Futrono.png,70.541.400-9,244,21-05-1942,Alessandri 05,(63) 2481101,Carlos Hernán Guarda Zaffaroni,Rodrigo Alejandro Sepulveda Carrasco,5,desde_app_bomberos
151,Hualaihué,https://app.bomberos.cl/info_crpo_web/?id=151,logos/151_Hualaihué.png,75.990.990-9,282,18-04-1994,Los Colonos S/N,982095726,Juan Gavino Melipillan Parancan,Francisco Javier Negron Perez,2,desde_app_bomberos
152,Huellelhue,https://app.bomberos.cl/info_crpo_web/?id=152,logos/152_Huellelhue.png,70.534.500-7,180,25-08-1959,Cuartel De Bomberos S/n,(063) 1271022,Zaida Alejandra Langer Matus,Claudio Rodrigo San Vásquez,1,desde_app_bomberos
153,Lago Ranco,https://app.bomberos.cl/info_crpo_web/?id=153,logos/153_Lago Ranco.png,71.209.600-4,158,03-09-1954,"Antofagasta 143, CENTRO",63 491222 / 63 2491451,Juan Segundo Uribe Sanhueza,Luis Alfredo Inostroza Vergara,5,desde_app_bomberos
154,Lanco,https://app.bomberos.cl/info_crpo_web/?id=154,logos/154_Lanco.png,70.011.050-8,92,09-01-1936,Dieciocho 170,(63) 2442555 - 2335203,José Emilio Alarcón Barrenechea,Michael Robinson Navarro Castro,5,desde_app_bomberos
155,Las Cascadas,https://app.bomberos.cl/info_crpo_web/?id=155,logos/155_Las Cascadas.jpg,81.746.900-0,205,08-05-1964,"VICENTE PEREZ ROSALES 159, LAS CASCADAS",(64) 2 396232,Víctor Hugo Borkert Angulo,Hugo Alfredo Manríquez Silva,1,desde_app_bomberos
156,Los Lagos,https://app.bomberos.cl/info_crpo_web/?id=156,logos/156_Los Lagos.png,81.596.600-7,116,05-11-1943,Quinchilca 17,(63) 461222,Juan Carlos Jil Martínez,Miguel Segovia Núñez,6,desde_app_bomberos
157,Los Muermos,https://app.bomberos.cl/info_crpo_web/?id=157,logos/157_Los Muermos.jpg,70.690.200-7,143,27-07-1951,José M. Balmaceda 301,(65) 211600,Claudio Rodrigo Subiabre Diaz,Xavier Alejandro Vargas Nuñez,5,desde_app_bomberos
158,Llanquihue,https://app.bomberos.cl/info_crpo_web/?id=158,logos/158_Llanquihue.png,70.278.600-2,77,12-05-1929,"Baquedano 1001, CENTRO",(65) 2243570,Nelson Ricardo Catalan Leiva,Fabian Esteban Aguilar Garces,6,desde_app_bomberos
159,Máfil,https://app.bomberos.cl/info_crpo_web/?id=159,logos/159_Máfil.png,70.016.660-0,178,05-07-1959,Bernardo O'higgins 260,(63) 411222 - 411213,Genoveva Haydee Molina Soto,Erich Oriel González Aedo,2,desde_app_bomberos
160,Malalhue,https://app.bomberos.cl/info_crpo_web/?id=160,logos/160_Malalhue.png,71.199.000-3,219,21-07-1966,Covadonga 37,632316232,Nelson Octavio Seguel Diaz,Carlos Rogelio Aguayo Neichuel,3,desde_app_bomberos
161,Maullín,https://app.bomberos.cl/info_crpo_web/?id=161,logos/161_Maullín.png,82.477.600-8,54,23-10-1909,Almeyda S/n,65 451739,Juan Esteban González Cárcamo,Victor Hugo Montealegre Barria,5,desde_app_bomberos
162,Mehuin,https://app.bomberos.cl/info_crpo_web/?id=162,logos/162_Mehuin.png,60.071.398-1,237,28-04-1971,Carlos Acharán S/n,(063) 456232 - (063) 456272,Washington Vega Valenzuela,Bernardo Sepulveda Perez,1,desde_app_bomberos
163,Osorno,https://app.bomberos.cl/info_crpo_web/?id=163,logos/163_Osorno.jpg,70.002.300-1,5,27-08-1865,Manuel Antonio Matta 790,(64) 2553181,German Alberto Vidal Gonzalez,Joaquin Javier Rupertus Torres,10,desde_app_bomberos
164,Paillaco,https://app.bomberos.cl/info_crpo_web/?id=164,logos/164_Paillaco.jpg,71.674.300-4,98,15-12-1938,Carlos Acharán Arce 872,632421222,Cristian Felipe Yaeger Villanueva,Harry Orlando Alvarez Millachine,5,desde_app_bomberos
165,Panguipulli,https://app.bomberos.cl/info_crpo_web/?id=165,logos/165_Panguipulli.png,81.864.400-0,147,01-10-1952,"Clodomiro Figueroa esquina Diego Portales Sin Numero, Sector Terminal de Buses Municipal",(63) 312171,Rodolfo Alejandro Zúñiga Neira,Jorge Andres Sepúlveda Uribe,9,desde_app_bomberos
166,Pichirropulli,https://app.bomberos.cl/info_crpo_web/?id=166,logos/166_Pichirropulli.png,81.865.500-2,125,08-05-1951,"Independencia 259, Pichi Ropulli",632426232,Luis Rigoberto Poblete Salgado,Remigio Eduardo Saavedra Solis,1,desde_app_bomberos
167,Puerto Octay,https://app.bomberos.cl/info_crpo_web/?id=167,logos/167_Puerto Octay.jpeg,70.001.780-K,46,14-04-1907,Pedro Montt 507,(64) 391222,Patricio Norberto Kahler Hausdorf,Hector Eugenio Carrasco Ampuero,3,desde_app_bomberos
169,San Pedro de Melipilla,https://app.bomberos.cl/info_crpo_web/?id=169,logos/169_San Pedro de Melipilla.png,75.285.300-2,277,19-04-1993,Hermosilla 15,22 8326500,Marcelo Alex Torres Cayupi,Sebastian Alejandro De Jesus Chailan Mateluna,6,desde_app_bomberos
170,Santiago,https://app.bomberos.cl/info_crpo_web/?id=170,logos/170_Santiago.jpg,81.450.600-2,3,20-12-1863,"Santo Domingo 978, Santiago",(2) 23061500,Gabriel Marcelo Huerta Torres,Giorgio Felipe Tromben Marcone,22,desde_app_bomberos
171,Talagante,https://app.bomberos.cl/info_crpo_web/?id=171,logos/171_Talagante.jpg,81.554.000-K,119,13-04-1945,Bernardo O'Higgins 1239,(22) 8151810 - 8157163 - 8151140,Juan Pablo Griñen Arce,Felipe Manuel Garate Moya,4,desde_app_bomberos
172,Til Til,https://app.bomberos.cl/info_crpo_web/?id=172,logos/172_Til Til.jpg,81.976.700-9,175,26-10-1958,Emilio Valle 057,(2) 8461283 - 8461978,Angel Gabriel Sandoval Zubicueta,Luis Alejandro Astorga Guzman,5,desde_app_bomberos
173,Villa Alhué,https://app.bomberos.cl/info_crpo_web/?id=173,logos/173_Villa Alhué.png,75.976.410-2,285,26-06-1999,21 de mayo 375,966042016,Carlos Alberto Cantillana Gonzalez,Juan Sebastian Cantillana Araya,4,desde_app_bomberos
174,Tocopilla,https://app.bomberos.cl/info_crpo_web/?id=174,logos/174_Tocopilla.pjpeg,81.552.700-3,30,14-07-1894,"21 De Mayo 1561, Centro",552815768  / 552813232,Danny Pedro Fernández Díaz,Javier Carmona Jofré,3,desde_app_bomberos
175,Tirúa,https://app.bomberos.cl/info_crpo_web/?id=175,logos/175_Tirúa.png,75.959.150-K,289,29-10-1999,Guerrero S/n,(41) 2614088,Emilio Raul Quintana Alvarez,Hector Gerardo Silva Valdebenito,3,desde_app_bomberos
176,Trehuaco,https://app.bomberos.cl/info_crpo_web/?id=176,logos/176_Trehuaco.png,75.975.390-9,273,25-08-1998,Juan Mackenna 693,42-2523437,Danilo Eduardo Constanzo Placencia,Daniel Esteban Cárcamo San Martín,1,desde_app_bomberos
177,La Unión,https://app.bomberos.cl/info_crpo_web/?id=177,logos/177_La Unión.png,81.810.200-3,7,03-10-1869,Esmeralda 825,(64)2323097 - (64) 2320133,Jose Mauricio Barrera Manqui,Rodrigo Ignacio Mena Navarrete,6,desde_app_bomberos
178,Palena,https://app.bomberos.cl/info_crpo_web/?id=178,logos/178_Palena.jpeg,65.052.710-0,291,28-07-1961,Hurtado De Méndoza 760,(65) 2741248,Andrea Calbún Sáez,Oscar Ignacio Mendoza Rivadeneira,2,desde_app_bomberos
179,Paredones,https://app.bomberos.cl/info_crpo_web/?id=179,logos/179_Paredones.png,65.052.430-6,292,22-04-1962,Doctor Moore 82,72 824852,Carlos Jose Pino Sanchez,Pablo Guerra Gonzalez,3,desde_app_bomberos
180,Quilaco,https://app.bomberos.cl/info_crpo_web/?id=180,logos/180_Quilaco.png,65.109.770-3,293,13-03-2002,José Miguel Carrera S/n,(43) 581637,Karina Elizabeth Sanhueza Mendoza,Carlos Patricio Vera Jara,2,desde_app_bomberos
181,Hualqui,https://app.bomberos.cl/info_crpo_web/?id=181,logos/181_Hualqui.jpg,70.609.200-5,167,07-10-1956,"La Concepción 451, CEntro",(41) 2780496,Carlos Rodolfo Vildosola Vargas,Jaime Octavio Cafarena Chávez,3,desde_app_bomberos
182,Huépil,https://app.bomberos.cl/info_crpo_web/?id=182,logos/182_Huépil.jpg,70.008.200-8,194,11-05-1961,"INDEPENDENCIA 568, HUEPIL",4322110766 - 432210765-,Jorge Alfredo Rivera Araneda,Sebastian Alonso Martinez Rios,4,desde_app_bomberos
183,Laja,https://app.bomberos.cl/info_crpo_web/?id=183,logos/183_Laja.png,70.010.000-6,172,29-11-1957,"Balmaceda 10, Centro",(43) 461144,Carlos José Alvarez Burgos,Miguel Angel Carrasco Guerrero,3,desde_app_bomberos
184,Lebu,https://app.bomberos.cl/info_crpo_web/?id=184,logos/184_Lebu.png,71.388.600-9,42,18-02-1905,Ramón Freire 612,(41) 2511278,Nestor Joaquín Matamala Peña,Daniel Eduardo Herrera Riffo,6,desde_app_bomberos
185,Los Alamos,https://app.bomberos.cl/info_crpo_web/?id=185,logos/185_Los Alamos.jpg,71.078.900-2,238,25-01-1972,"Luis Sáez Mora 415, Centro",(41) 2533226,Hector Jaime Riquelme Saavedra,Jorge Alfredo Aguilera Aguilera,4,desde_app_bomberos
186,Los Ángeles,https://app.bomberos.cl/info_crpo_web/?id=186,logos/186_Los Ángeles.png,81.594.400-3,25,23-11-1888,"Avda. Ricardo Vicuña 410, centro",98723259 - 966559283 - 965194176,Eduardo Lopez Viveros,Rodrigo Godoy Villagran,9,desde_app_bomberos
187,Lota,https://app.bomberos.cl/info_crpo_web/?id=187,logos/187_Lota.jpg,70.015.700-8,31,12-05-1895,Galvarino Riveros 080,(41) 2876980,Luis Alberto Solar Jancinas,Marco Sebastián Bravo Hidalgo,5,desde_app_bomberos
188,Mulchén,https://app.bomberos.cl/info_crpo_web/?id=188,logos/188_Mulchén.png,81.549.900-K,55,30-11-1909,Aníbal Pinto 390,(43) 561589,Luis Marcelo Troncoso Muñoz,Patricio Alejandro Arellano Umaña,3,desde_app_bomberos
189,Nacimiento,https://app.bomberos.cl/info_crpo_web/?id=189,logos/189_Nacimiento.png,70.687.800-9,79,31-12-1929,San Martin 337,(43) 2524131,Jaime Valdebenito Oñate,Cesar Olayo Medina Novoa,4,desde_app_bomberos
190,Negrete,https://app.bomberos.cl/info_crpo_web/?id=190,logos/190_Negrete.jpg,71.546.300-8,193,16-04-1962,Luis Cruz Martínez 170,+56443697436,Julio César González Toloza,Eduardo Andres Torres Toro,3,desde_app_bomberos
191,Ninhue,https://app.bomberos.cl/info_crpo_web/?id=191,logos/191_Ninhue.jpg,71.409.500-5,264,16-09-1982,Héroes De La Concepción 403,422509277,Hector Bayron Guiñez Sanhueza,Victor Alfonso Medina Tapia,1,desde_app_bomberos
192,Ñipas,https://app.bomberos.cl/info_crpo_web/?id=192,logos/192_Ñipas.jpg,71.118.700-6,252,22-11-1976,Barros Luco 540,(42) 2541768,Gonzalo Del Carmen Urra Rabanal,Manuel Andres Garcia Santibañez,2,desde_app_bomberos
193,Ñiquén,https://app.bomberos.cl/info_crpo_web/?id=193,logos/193_Ñiquén.png,71.606.000-4,258,19-11-1980,Ernesto Zúñiga 143,(42) 1973240,Hector Enrique Torres Zuniga,Jaime Andres Rojas Garces,3,desde_app_bomberos
194,Pemuco,https://app.bomberos.cl/info_crpo_web/?id=194,logos/194_Pemuco.jpeg,71.104.800-6,225,01-05-1968,Padre Jorge Herrera Sepúlveda 333,422653021,Moisés Alejandro Wall Singer,Joel Abiathar Ocampo Osses,2,desde_app_bomberos
195,Penco,https://app.bomberos.cl/info_crpo_web/?id=195,logos/195_Penco.jpg,82.217.800-6,73,30-11-1927,Freire 202,(41) 2453670,Jamir Elias Alarcon Robles,Aaron Alejandro Jara Nancabil,5,desde_app_bomberos
196,Pinto,https://app.bomberos.cl/info_crpo_web/?id=196,logos/196_Pinto.jpg,71.357.400-7,261,06-04-1981,Ernesto Riquelme S/n,(42) 1973831,Andrés Alejandro Oliva Happacher,Carlos Romilio Navarrete Ormeño,3,desde_app_bomberos
197,Puerto Montt,https://app.bomberos.cl/info_crpo_web/?id=197,logos/197_Puerto Montt.jpg,81.505.200-5,4,19-06-1865,"Antonio Varas Y San Felipe S/n, CENTRO",652252818 - 652287110,Jaime Leonardo Jonshon Cardenas,Roberto Marcelo Angulo Alarcon,11,desde_app_bomberos
198,Puerto Varas,https://app.bomberos.cl/info_crpo_web/?id=198,logos/198_Puerto Varas.jpg,70.007.200-2,51,21-01-1908,"San Francisco 601, Centro",652233522,Victor Alfonso Soto Velasquez,Cristóbal Eduardo Hechenleitner Oyarzún,7,desde_app_bomberos
199,Puqueldon,https://app.bomberos.cl/info_crpo_web/?id=199,logos/199_Puqueldon.jpg,71.047.200-9,212,05-06-1966,Manuel Rodríguez S/n,(65) 677231,Victor Alejandro Vega Llanquin,Victor Alejandro Godoy Godoy,4,desde_app_bomberos
200,Purranque,https://app.bomberos.cl/info_crpo_web/?id=200,logos/200_Purranque.png,71.089.700-K,85,21-05-1931,Las Heras 325,(64) 351838,Carolina Isabel Pinda Guevara,Edgardo Alfonso Ceron Quilempan,5,desde_app_bomberos
201,Queilén,https://app.bomberos.cl/info_crpo_web/?id=201,logos/201_Queilén.jpg,71.149.800-1,49,08-12-1907,Pedro Aguirre Cerda 312,65 611232,Rene Hernan Vera Reuquen,Cristian Marcelo Muñoz Muñoz,2,desde_app_bomberos
202,Quellón,https://app.bomberos.cl/info_crpo_web/?id=202,logos/202_Quellón.jpeg,71.198.900-5,70,04-12-1926,Ramón Freire 217,(65) 682333,Claudio Alejandro Obando Martinez,Eduardo Alejandro Obando Martínez,6,desde_app_bomberos
203,Quemchi,https://app.bomberos.cl/info_crpo_web/?id=203,logos/203_Quemchi.pjpeg,82.476.400-K,43,26-03-1905,Pedro Montt 240,(65) 691232,Pablo Alberto Millalonco Cardenas,Alfonso Hermogenes Ulloa Ulloa,2,desde_app_bomberos
204,Reumén,https://app.bomberos.cl/info_crpo_web/?id=204,logos/204_Reumén.jpg,82.198.000-3,181,09-10-1960,Arauco 349,(63) 2277393,Erman Alez Roa Palma,Miguel Angel Espinoza Montesinos,3,desde_app_bomberos
205,Riachuelo,https://app.bomberos.cl/info_crpo_web/?id=205,logos/205_Riachuelo.jpg,70.010.200-9,126,14-01-1946,Pedro De Valdivia 350,923854319,Claudio Alex Soto Vargas,Carlos Israel Fuentes García,1,desde_app_bomberos
206,Río Bueno,https://app.bomberos.cl/info_crpo_web/?id=206,logos/206_Río Bueno.png,81.976.800-5,39,29-11-1903,"SAN MARTIN 1542 2 PISO, CENTRO",662341222/ 642341888/ 642341876,Ariel Edmundo Delgado Alvarez,Aladin Rolando Burgos Toro,6,desde_app_bomberos
208,San José De La Mariquina,https://app.bomberos.cl/info_crpo_web/?id=208,logos/208_San José De La Mariquina.png,81.598.800-0,90,10-10-1935,Carlos acharan arce s/n,(63) 451222 - 451250,Patricio Alejandro Oporto Maldonado,Sergio Gallardo Banda,6,desde_app_bomberos
209,San Juan De La Costa,https://app.bomberos.cl/info_crpo_web/?id=209,logos/209_San Juan De La Costa.jpg,74.315.300-6,266,13-07-1983,"Avenida costanera, Bahía Mansa S/N, Bahía Mansa",942092953,Sergio Andres Casanova Alvarado,Gustavo Sebastian Vera Villagra,3,desde_app_bomberos
210,San Pablo,https://app.bomberos.cl/info_crpo_web/?id=210,logos/210_San Pablo.jpg,82.173.300-6,217,16-08-1967,Cruz 516,(64) 381222,Roberto Ernestor Mancilla Henriquez,Andres Alejandro Riquelme Hueitra,4,desde_app_bomberos
211,Valdivia,https://app.bomberos.cl/info_crpo_web/?id=211,logos/211_Valdivia.jpeg,82.983.700-5,10,12-02-1853,"Camilo Henríquez 307, Centro",632212222,Jorge Gabriel Sánchez Aguilar,Mario Rodolfo Estrada Alvial,10,desde_app_bomberos
212,Última Esperanza,https://app.bomberos.cl/info_crpo_web/?id=212,logos/212_Última Esperanza.jpeg,81.591.900-9,89,20-07-1935,Simón Bolivar 1455,(61) 410969,Ruben Ernesto Perez Gallardo,Sergio Alberto Ramirez Gallardo,4,desde_app_bomberos
213,Chile Chico,https://app.bomberos.cl/info_crpo_web/?id=213,logos/213_Chile Chico.png,74.998.800-2,179,05-08-1959,Bernardo O'higgins 705,(67) 411454,Miguel Gatica Saigg,Denise Bravo Veroiza,5,desde_app_bomberos
214,Puerto Aysén,https://app.bomberos.cl/info_crpo_web/?id=214,logos/214_Puerto Aysén.jpg,82.684.200-8,83,25-01-1931,Teniente Merino 600,(67) 573186,Carlos Arturo Díaz Rivera,Cristian Artemio Meza Piucol,8,desde_app_bomberos
215,Puerto Cisnes,https://app.bomberos.cl/info_crpo_web/?id=215,logos/215_Puerto Cisnes.png,71.441.800-9,271,07-06-1988,Gabriela Mistral 507,(67) 346595,Nicole Francisca Núñez Quiroz,Carlos Vega Retamal,9,desde_app_bomberos
